comp_name,exp_req,job_desp,job_desp_page,job_title,key_skills,loc,sal
Sun Life India Service Centre Pvt. Ltd.,4-7 yrs,N/A,https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-tableau-SAS-Visual-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-7-years-210918008881?src=jobsearchDesk&sid=1538417896860&xp=10&px=1,Senior Analyst - Data Analytics (tableau & SAS Visual Analytics),"Data Mining, SAS Enterprise Guide, Data Analytics, Business Intelligence...",Gurgaon,"    5,50,000 - 8,50,000 P.A.  "
Nacre Outsourcing,5-10 yrs,- Proven working experience as a data analyst or business data analyst;- Knowledge of statistics and ...,https://www.naukri.com/job-listings-SAS-Model-Developer-Analytics-Consulting-Firm-Nacre-Outsourcing-Gurgaon-Noida-5-to-10-years-011018900899?src=jobsearchDesk&sid=1538417896860&xp=11&px=1,SAS Model Developer - Analytics Consulting Firm,"Excel, SQL, Data Analysis, Segmentation, SAS, Data Mining, SPSS...","Gurgaon, Noida",  Not disclosed 
Taazaa Inc.,3-5 yrs,"Manage end to end analytics projects including business requirement analysis, define scope, solution ...",https://www.naukri.com/job-listings-Python-Developer-big-Data-Analytics-Taazaa-Inc-Sector-63-Noida-Taazaa-Inc-Delhi-Noida-3-to-5-years-190918008688?src=jobsearchDesk&sid=1538417896860&xp=12&px=1,"Python Developer-big Data Analytics, Taazaa Inc., Sector 63, Noida","Python Developer, Big Data, Analytics, Hadoop, SQL, Excel, R, JSON, SPSS...","Delhi, Noida",  Not disclosed 
Yoda Learning Solutions,3-7 yrs,Should be capable to deliver training modules to both L1 & L2 type of audiences. ;Should have a good ...,https://www.naukri.com/job-listings-Data-Analytics-Trainer-for-Corporate-Training-Institute-Yoda-Learning-Solutions-Delhi-NCR-3-to-7-years-190918007875?src=jobsearchDesk&sid=1538417896860&xp=13&px=1,Data Analytics Trainer for Corporate Training Institute,"Alteryx, Corporate Training, Data Analytics, Business Intelligence...",Delhi NCR,"    6,00,000 - 10,00,000 P.A.  "
Platinus Technologies Private Limited,8-13 yrs,N/A,https://www.naukri.com/job-listings-Data-Analyst-Technical-Work-From-Home-US-Timings-Part-Time-Platinus-Technologies-Private-Limited-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-8-to-13-years-240717006241?src=jobsearchDesk&sid=1538417896860&xp=14&px=1,Data Analyst( Technical)- Work From Home- US Timings- Part Time,"Data Profiling, SQL, Data Analysis, Data Quality, Data Analytics...","Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune",  Not disclosed 
Decision Point,3-5 yrs,- Exposure to the Indian consumer market dynamics and application of analytics in developing marketing ...,https://www.naukri.com/job-listings-Analytics-Consultant-Fmcg-retail-cpg-Domain-Iit-nit-Decision-Point-Gurgaon-Delhi-NCR-3-to-5-years-011018900789?src=jobsearchDesk&sid=1538417896860&xp=15&px=1,Analytics Consultant - Fmcg/retail/cpg Domain - Iit/nit,"FMCG Sales, Data Analytics, Marketing Analytics, Data Analysis, Statistical...","Gurgaon, Delhi NCR",  Not disclosed 
HuQuo,3-8 yrs,"- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",https://www.naukri.com/job-listings-Senior-Business-Analyst-SAS-Data-Analytics-Firm-HuQuo-Delhi-NCR-Gurgaon-3-to-8-years-230818900271?src=jobsearchDesk&sid=1538417896860&xp=16&px=1,Senior Business Analyst - SAS Data - Analytics Firm,"sql, business analysis, data analytics, data mining, sas, vba, regression...","Delhi NCR, Gurgaon",  Not disclosed 
Huquo Consulting Pvt. Ltd,5-10 yrs,- Extensive experience using Big Data technologies (4-12 years) to analyze and solve business problems ...,https://www.naukri.com/job-listings-Manager-senior-Manager-Big-Data-Analytics-Banking-Domain-Huquo-Consulting-Pvt-Ltd-Gurgaon-5-to-10-years-140918900744?src=jobsearchDesk&sid=1538417896860&xp=17&px=1,Manager/senior Manager - Big Data Analytics - Banking Domain,"sql, hive, spark, big data analytics, tableau, data analysis...",Gurgaon,  Not disclosed 
Cargill Business Services India Private Limited,5-10 yrs,"5+ years practical experience with SAS, ETL, data processing and data analytics;5- 10 Years of ...",https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-5-to-10-years-100918900400?src=jobsearchDesk&sid=1538417896860&xp=18&px=1,Manager - Data & Analytics,"data analytics, data analysis, training needs, business generation, sas...",Gurgaon,  Not disclosed 
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-100918900010?src=jobsearchDesk&sid=1538417896860&xp=19&px=1,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",Gurgaon,  Not disclosed 
